Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Venue Country,Match Type,MOM
18,41,28,1,0,64.28,3,caught,2,v Australia,Adelaide,12/2/12,Australia,ODI,No
15,32,25,1,0,60,3,lbw,2,v Sri Lanka,Adelaide,2/14/12,Australia,ODI,No
12,44,25,0,0,48,3,caught,2,v Australia,Brisbane,2/19/12,Australia,ODI,No
66,116,83,2,0,79.51,4,caught,2,v Sri Lanka,Brisbane,2/21/12,Australia,ODI,Yes
21,36,27,2,0,77.77,4,caught,2,v Australia,Sydney,2/26/12,Australia,ODI,No
133*,133,86,16,2,154.65,4,not out,2,v Sri Lanka,Hobart,2/28/12,Australia,ODI,Yes
108,148,120,7,0,90,3,caught,1,v Sri Lanka,Mirpur,3/13/12,Bangladesh,ODI,Yes
66,126,82,5,0,80.48,3,bowled,1,v Bangladesh,Mirpur,3/16/12,Bangladesh,ODI,Yes
183,211,148,22,1,123.64,3,caught,2,v Pakistan,Mirpur,3/18/12,Bangladesh,ODI,Yes
106,158,113,9,0,93.8,3,caught,1,v Sri Lanka,Hambantota,7/21/12,Sri Lanka,ODI,Yes
1,6,5,0,0,20,3,caught,1,v Sri Lanka,Hambantota,7/24/12,Sri Lanka,ODI,No
38,80,65,2,0,58.46,3,caught,2,v Sri Lanka,Colombo (RPS),7/28/12,Sri Lanka,ODI,No
128*,187,119,12,1,107.56,3,not out,2,v Sri Lanka,Colombo (RPS),7/31/12,Sri Lanka,ODI,Yes
23,42,35,2,0,65.71,3,lbw,1,v Sri Lanka,Pallekele,4/8/12,Sri Lanka,ODI,No
0,9,5,0,0,0,3,bowled,1,v Pakistan,Chennai,12/30/12,India,ODI,No
6,12,9,1,0,66.66,3,caught,2,v Pakistan,Eden Gardens,3/1/13,India,ODI,No
7,25,17,1,0,41.17,3,caught,1,v Pakistan,Delhi,6/1/13,India,ODI,No
15,45,22,1,0,68.18,3,caught,2,v England,Rajkot,11/1/13,India,ODI,No
37,86,54,1,1,68.51,3,caught,1,v England,Kochi,1/15/13,India,ODI,No
77*,110,79,9,2,97.46,3,not out,2,v England,Ranchi,1/19/13,India,ODI,Yes
26,44,33,3,0,78.78,3,caught,2,v England,Mohali,1/23/13,India,ODI,No
0,1,1,0,0,0,3,caught,1,v England,Dharamsala,1/27/13,India,ODI,No
31,46,41,2,0,75.6,3,caught,1,v South Africa,Cardiff,6/6/13,England,ODI,No
22,18,18,4,0,122.22,3,bowled,2,v West Indies,The Oval,11/6/13,England,ODI,No
22*,36,27,3,0,81.48,3,not out,2,v Pakistan,Birmingham,6/15/13,England,ODI,No
58*,80,64,4,1,90.62,3,not out,2,v Sri Lanka,Cardiff,6/20/13,England,ODI,Yes
43,66,34,4,1,126.47,3,caught,1,v England,Birmingham,6/23/13,England,ODI,No
11,19,21,0,1,52.38,3,caught,1,v West Indies,Kingston,6/30/13,West Indies,ODI,No
2,6,5,0,0,40,4,caught,2,v Sri Lanka,Kingston,2/7/13,West Indies,ODI,No
102,120,83,13,2,122.89,3,caught,1,v West Indies,Port of Spain,5/7/13,West Indies,ODI,Yes
31,62,52,4,0,59.61,3,lbw,1,v Sri Lanka,Port of Spain,9/7/13,West Indies,ODI,No
2,8,5,0,0,40,3,caught,2,v Sri Lanka,Port of Spain,11/7/13,West Indies,ODI,No
115,133,108,13,1,106.48,3,caught,2,v Zimbabwe,Harare,7/24/13,Zimbabwe,ODI,Yes
14,35,18,2,0,77.77,3,caught,1,v Zimbabwe,Harare,7/26/13,Zimbabwe,ODI,No
68*,128,88,5,1,77.27,3,not out,2,v Zimbabwe,Harare,7/28/13,Zimbabwe,ODI,Yes
DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Bulawayo,1/8/13,Zimbabwe,ODI,No
DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Bulawayo,3/8/13,Zimbabwe,ODI,No
61,121,85,6,0,71.76,3,lbw,2,v Australia,Pune,10/13/13,India,ODI,Yes
100*,82,52,8,7,192.3,3,not out,2,v Australia,Jaipur,10/16/13,India,ODI,Yes
68,121,73,9,0,93.15,3,caught,1,v Australia,Mohali,10/19/13,India,ODI,Yes
DNB,-,-,-,-,-,-,-,2,v Australia,Ranchi,10/23/13,India,ODI,No
115*,104,66,18,1,174.24,3,not out,2,v Australia,Nagpur,10/30/13,India,ODI,Yes
0,4,3,0,0,0,3,run out,1,v Australia,Bengaluru,2/11/13,India,ODI,No
86,120,84,9,2,102.38,3,caught,2,v West Indies,Kochi,11/21/13,India,ODI,Yes
99,159,100,9,0,99,3,caught,1,v West Indies,Visakhapatnam,11/24/13,India,ODI,Yes
19,19,18,3,0,105.55,3,caught,2,v West Indies,Kanpur,11/27/13,India,ODI,No
31,41,35,5,0,88.57,3,caught,2,v South Africa,Johannesburg,5/12/13,South Africa,ODI,No
0,7,5,0,0,0,3,caught,2,v South Africa,Durban,8/12/13,South Africa,ODI,No
TDNB,-,-,-,-,-,-,-,-,v South Africa,Centurion,11/12/13,South Africa,ODI,No
123,179,111,11,2,110.81,3,caught,2,v New Zealand,Napier,1/19/14,New Zealand,ODI,Yes
78,88,65,7,2,120,3,caught,2,v New Zealand,Hamilton,1/22/14,New Zealand,ODI,Yes
6,27,20,1,0,30,3,caught,2,v New Zealand,Auckland,1/25/14,New Zealand,ODI,No
2,14,10,0,0,20,2,caught,1,v New Zealand,Hamilton,1/28/14,New Zealand,ODI,No
82,129,78,7,3,105.12,3,caught,2,v New Zealand,Wellington,1/31/14,New Zealand,ODI,Yes
136,157,122,16,2,111.47,3,bowled,2,v Bangladesh,Fatullah,2/26/14,Bangladesh,ODI,Yes
48,66,51,4,1,94.11,3,bowled,1,v Sri Lanka,Fatullah,2/28/14,Bangladesh,ODI,No
5,29,11,0,0,45.45,3,caught,1,v Pakistan,Mirpur,2/3/14,Bangladesh,ODI,No
DNB,-,-,-,-,-,-,-,2,v Afghanistan,Mirpur,5/3/14,Bangladesh,ODI,No
0,1,3,0,0,0,3,caught,1,v England,Cardiff,8/27/14,England,ODI,No
40,67,50,2,1,80,3,caught,2,v England,Nottingham,8/30/14,England,ODI,No
1*,9,3,0,0,33.33,3,not out,2,v England,Birmingham,2/9/14,England,ODI,No
13,25,21,2,0,61.9,3,caught,2,v England,Leeds,5/9/14,England,ODI,No
2,7,5,0,0,40,3,caught,2,v West Indies,Kochi,8/10/14,India,ODI,No
62,124,78,5,0,79.48,4,caught,1,v West Indies,Delhi,11/10/14,India,ODI,Yes
127,164,114,13,3,111.4,3,run out,1,v West Indies,Dharamsala,10/17/14,India,ODI,Yes
22,34,21,2,0,104.76,4,caught,1,v Sri Lanka,Cuttack,2/11/14,India,ODI,No
49,67,44,2,2,111.36,4,caught,2,v Sri Lanka,Ahmedabad,6/11/14,India,ODI,No
53,43,61,4,1,86.88,4,caught,2,v Sri Lanka,Hyderabad (Deccan),9/11/14,India,ODI,Yes
66,109,64,6,0,103.12,4,run out,1,v Sri Lanka,Eden Gardens,11/13/14,India,ODI,Yes
139*,192,126,12,3,110.31,4,not out,2,v Sri Lanka,Ranchi,11/16/14,India,ODI,Yes
9,24,16,0,0,56.25,4,caught,1,v Australia,Melbourne,1/18/15,Australia,ODI,No
4,13,8,0,0,50,4,caught,1,v England,Brisbane,1/20/15,Australia,ODI,No
3*,8,9,0,0,33.33,4,not out,1,v Australia,Sydney,1/26/15,Australia,ODI,No
8,26,19,0,0,42.1,3,caught,1,v England,Perth,1/30/15,Australia,ODI,No
107,168,126,8,0,84.92,3,caught,1,v Pakistan,Adelaide,2/15/15,Australia,ODI,Yes
46,106,60,3,0,76.66,3,caught,1,v South Africa,Melbourne,2/22/15,Australia,ODI,No
33*,49,41,5,0,80.48,3,not out,2,v U.A.E.,Perth,2/28/15,Australia,ODI,No
33,51,36,5,0,91.66,3,caught,2,v West Indies,Perth,6/3/15,Australia,ODI,No
44*,64,42,4,1,104.76,3,not out,2,v Ireland,Hamilton,10/3/15,New Zealand,ODI,No
38,71,48,4,0,79.16,3,bowled,2,v Zimbabwe,Auckland,3/14/15,New Zealand,ODI,No
3,6,8,0,0,37.5,3,caught,1,v Bangladesh,Melbourne,3/19/15,Australia,ODI,No
1,11,13,0,0,7.69,3,caught,2,v Australia,Sydney,3/26/15,Australia,ODI,No
1,9,4,0,0,25,3,caught,2,v Bangladesh,Mirpur,6/18/15,Bangladesh,ODI,No
23,57,27,3,1,85.18,3,lbw,1,v Bangladesh,Mirpur,6/21/15,Bangladesh,ODI,No
25,55,35,1,0,71.42,3,bowled,1,v Bangladesh,Mirpur,6/24/15,Bangladesh,ODI,No
11,29,18,0,0,61.11,4,caught,2,v South Africa,Kanpur,11/10/15,India,ODI,No
12,24,18,0,0,66.66,4,run out,1,v South Africa,Indore,10/14/15,India,ODI,No
77,155,99,5,0,77.77,3,caught,2,v South Africa,Rajkot,10/18/15,India,ODI,Yes
138,202,140,6,5,98.57,3,caught,1,v South Africa,Chennai,10/22/15,India,ODI,Yes
7,11,6,0,1,116.66,3,caught,2,v South Africa,Wankhede,10/25/15,India,ODI,No
91,148,97,9,1,93.81,3,caught,1,v Australia,Perth,12/1/16,Australia,ODI,Yes
59,84,67,4,0,88.05,3,run out,1,v Australia,Brisbane,1/15/16,Australia,ODI,Yes
117,174,117,7,2,100,3,caught,1,v Australia,Melbourne,1/17/16,Australia,ODI,Yes
106,131,92,11,1,115.21,3,caught,2,v Australia,Canberra,1/20/16,Australia,ODI,Yes
8,11,11,1,0,72.72,3,caught,2,v Australia,Sydney,1/23/16,Australia,ODI,No
85*,109,81,9,1,104.93,3,not out,2,v New Zealand,Dharamsala,10/16/16,India,ODI,Yes
9,18,13,1,0,69.23,3,caught,2,v New Zealand,Delhi,10/20/16,India,ODI,No
154*,202,134,16,1,114.92,3,not out,2,v New Zealand,Mohali,10/23/16,India,ODI,Yes
45,64,51,2,1,88.23,3,caught,2,v New Zealand,Ranchi,10/26/16,India,ODI,No
65,152,76,2,1,85.52,3,caught,1,v New Zealand,Visakhapatnam,10/29/16,India,ODI,Yes
122,147,105,8,5,116.19,3,caught,2,v England,Pune,1/15/17,India,ODI,Yes
8,6,5,2,0,160,3,caught,1,v England,Cuttack,1/19/17,India,ODI,No
55,81,63,8,0,87.3,3,caught,2,v England,Eden Gardens,1/22/17,India,ODI,Yes
81*,108,68,6,3,119.11,3,not out,1,v Pakistan,Birmingham,4/6/17,England,ODI,Yes
0,5,5,0,0,0,3,caught,1,v Sri Lanka,The Oval,8/6/17,England,ODI,No
76*,136,101,7,1,75.24,3,not out,2,v South Africa,The Oval,11/6/17,England,ODI,Yes
96*,96,78,13,0,123.07,3,not out,2,v Bangladesh,Birmingham,6/15/17,England,ODI,Yes
5,96,9,0,0,55.55,3,caught,2,v Pakistan,The Oval,6/18/17,England,ODI,No
32*,96,47,1,0,68.08,3,not out,1,v West Indies,Port of Spain,6/23/17,West Indies,ODI,No
87,96,66,4,4,131.81,3,caught,1,v West Indies,Port of Spain,6/25/17,West Indies,ODI,Yes
11,96,22,2,0,50,3,caught,1,v West Indies,North Sound,6/30/17,,ODI,No
3,68,12,0,0,25,3,caught,2,v West Indies,North Sound,2/7/17,,ODI,No
111*,96,115,12,2,96.52,3,not out,2,v West Indies,Kingston,6/7/17,West Indies,ODI,Yes
82*,96,70,10,1,117.14,3,not out,2,v Sri Lanka,Dambulla,8/20/17,Sri Lanka,ODI,Yes
4,56,2,1,0,200,5,bowled,2,v Sri Lanka,Pallekele,8/24/17,Sri Lanka,ODI,No
3,96,11,0,0,27.27,3,caught,2,v Sri Lanka,Pallekele,8/27/17,Sri Lanka,ODI,No
131,96,96,17,2,136.45,3,caught,1,v Sri Lanka,Colombo (RPS),8/31/17,Sri Lanka,ODI,Yes
110*,96,116,9,0,94.82,3,not out,2,v Sri Lanka,Colombo (RPS),3/9/17,Sri Lanka,ODI,Yes
0,7,4,0,0,0,3,caught,1,v Australia,Chennai,9/17/17,India,ODI,No
92,148,107,8,0,85.98,3,bowled,1,v Australia,Eden Gardens,9/21/17,India,ODI,Yes
28,58,35,2,0,80,3,caught,2,v Australia,Indore,9/24/17,India,ODI,No
21,23,21,3,0,100,3,bowled,2,v Australia,Bengaluru,9/28/17,India,ODI,No
39,73,55,2,0,70.9,3,caught,2,v Australia,Nagpur,1/10/17,India,ODI,No
121,203,125,9,2,96.8,3,caught,1,v New Zealand,Wankhede,10/22/17,India,ODI,Yes
29,40,29,3,1,100,3,caught,2,v New Zealand,Pune,10/25/17,India,ODI,No
113,166,106,9,1,106.6,3,caught,1,v New Zealand,Kanpur,10/29/17,India,ODI,Yes
112,164,119,10,0,94.11,3,caught,2,v South Africa,Durban,1/2/18,South Africa,ODI,Yes
46*,64,50,4,1,92,3,not out,2,v South Africa,Centurion,4/2/18,South Africa,ODI,No
160*,220,159,12,2,100.62,3,not out,1,v South Africa,Cape Town,7/2/18,South Africa,ODI,Yes
75,119,83,7,1,90.36,3,caught,1,v South Africa,Johannesburg,10/2/18,South Africa,ODI,Yes
36,76,54,2,0,66.66,3,run out,1,v South Africa,Gqeberha,2/13/18,South Africa,ODI,No
129*,123,96,19,2,134.37,3,not out,2,v South Africa,Centurion,2/16/18,South Africa,ODI,Yes
75,123,82,7,0,91.46,3,stumped,2,v England,Nottingham,12/7/18,England,ODI,Yes
45,98,56,2,0,80.35,3,lbw,2,v England,Lord's,7/14/18,England,ODI,No
71,98,72,8,0,98.61,3,bowled,1,v England,Leeds,7/17/18,England,ODI,Yes
140,217,107,21,2,130.84,3,stumped,2,v West Indies,Guwahati,10/21/18,India,ODI,Yes
157*,217,129,13,4,121.7,3,not out,1,v West Indies,Visakhapatnam,10/24/18,India,ODI,Yes
107,57,119,10,1,89.91,3,bowled,2,v West Indies,Pune,10/27/18,India,ODI,Yes
16,57,17,2,0,94.11,3,caught,1,v West Indies,Brabourne,10/29/18,India,ODI,No
33*,57,29,6,0,113.79,3,not out,2,v West Indies,Thiruvananthapuram,1/11/18,India,ODI,No
3,10,8,0,0,37.5,3,caught,2,v Australia,Sydney,12/1/19,Australia,ODI,No
104,150,112,5,2,92.85,3,caught,2,v Australia,Adelaide,1/15/19,Australia,ODI,Yes
46,59,62,3,0,74.19,3,caught,2,v Australia,Melbourne,1/18/19,Australia,ODI,No
45,59,59,3,0,76.27,3,caught,2,v New Zealand,Napier,1/23/19,New Zealand,ODI,No
43,59,45,5,0,95.55,3,caught,1,v New Zealand,Mount Maunganui,1/26/19,New Zealand,ODI,No
60,94,74,6,1,81.08,3,caught,2,v New Zealand,Mount Maunganui,1/28/19,New Zealand,ODI,Yes
44,94,45,6,1,97.77,3,lbw,2,v Australia,Hyderabad (Deccan),2/3/19,India,ODI,No
116,94,120,10,0,96.66,3,caught,1,v Australia,Nagpur,5/3/19,India,ODI,Yes
123,44,95,16,1,129.47,3,bowled,2,v Australia,Ranchi,8/3/19,India,ODI,Yes
7,44,6,1,0,116.66,4,caught,1,v Australia,Mohali,10/3/19,India,ODI,No
20,44,22,2,0,90.9,3,caught,2,v Australia,Delhi,3/13/19,India,ODI,No
18,44,34,1,0,52.94,3,caught,2,v South Africa,Southampton,5/6/19,England,ODI,No
82,128,77,4,2,106.49,3,caught,1,v Australia,The Oval,9/6/19,England,ODI,Yes
77,105,65,7,0,118.46,3,caught,1,v Pakistan,Manchester,6/16/19,England,ODI,Yes
67,105,63,5,0,106.34,3,caught,1,v Afghanistan,Southampton,6/22/19,England,ODI,Yes
72,146,82,8,0,87.8,3,caught,1,v West Indies,Manchester,6/27/19,England,ODI,Yes
66,103,76,7,0,86.84,3,caught,2,v England,Birmingham,6/30/19,England,ODI,Yes
26,45,27,3,0,96.29,3,caught,1,v Bangladesh,Birmingham,2/7/19,England,ODI,No
34*,61,41,3,0,82.92,3,not out,2,v Sri Lanka,Leeds,6/7/19,England,ODI,No
1,8,6,0,0,16.66,3,lbw,2,v New Zealand,Manchester,9/7/19,England,ODI,No
TDNB,-,-,-,-,-,-,-,-,v West Indies,Providence,8/8/19,West Indies,ODI,No
120,179,125,14,1,96,3,caught,1,v West Indies,Port of Spain,11/8/19,West Indies,ODI,Yes
114*,127,99,14,0,115.15,3,not out,2,v West Indies,Port of Spain,8/14/19,West Indies,ODI,Yes
4,88,4,1,0,100,3,bowled,1,v West Indies,Chennai,12/15/19,India,ODI,No
0,88,1,0,0,0,3,caught,1,v West Indies,Visakhapatnam,12/18/19,India,ODI,No
85,58,81,9,0,104.93,3,bowled,2,v West Indies,Cuttack,12/22/19,India,ODI,Yes
16,88,14,0,1,114.28,4,caught,1,v Australia,Wankhede,1/14/20,India,ODI,No
78,56,76,6,0,102.63,3,caught,1,v Australia,Rajkot,1/17/20,India,ODI,Yes
89,88,91,8,0,97.8,3,bowled,2,v Australia,Bengaluru,1/19/20,India,ODI,Yes
51,88,63,6,0,80.95,3,bowled,1,v New Zealand,Hamilton,5/2/20,New Zealand,ODI,Yes
15,31,25,1,0,60,3,bowled,2,v New Zealand,Auckland,8/2/20,New Zealand,ODI,No
9,20,12,0,1,75,3,caught,1,v New Zealand,Mount Maunganui,11/2/20,New Zealand,ODI,No
21,45,21,2,1,100,3,caught,2,v Australia,Sydney,11/27/20,Australia,ODI,No
89,56,87,7,2,102.29,3,caught,2,v Australia,Sydney,11/29/20,Australia,ODI,Yes
63,68,78,5,0,80.76,3,caught,1,v Australia,Canberra,2/12/20,Australia,ODI,Yes
56,65,60,6,0,93.33,3,caught,1,v England,Pune,3/23/21,India,ODI,Yes
66,110,79,3,1,83.54,3,caught,1,v England,Pune,3/26/21,India,ODI,Yes
7,14,10,1,0,70,3,bowled,1,v England,Pune,3/28/21,India,ODI,No
51,79,63,3,0,80.95,3,caught,2,v South Africa,Paarl,1/19/22,South Africa,ODI,Yes
0,4,5,0,0,0,3,caught,1,v South Africa,Paarl,1/21/22,South Africa,ODI,No
65,112,84,5,0,77.38,3,caught,2,v South Africa,Cape Town,1/23/22,South Africa,ODI,Yes
8,6,4,2,0,200,3,caught,2,v West Indies,Ahmedabad,6/2/22,India,ODI,No
18,42,30,3,0,60,3,caught,1,v West Indies,Ahmedabad,9/2/22,India,ODI,No
0,2,2,0,0,0,3,caught,1,v West Indies,Ahmedabad,11/2/22,India,ODI,No
16,39,25,3,0,64,3,caught,2,v England,Lord's,7/14/22,England,ODI,No
17,27,22,3,0,77.27,3,caught,2,v England,Manchester,7/17/22,England,ODI,No